index,year,age,sex,maritl,race,education,region,jobclass,health,health_ins,wage
0,2006,18,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,75.0431540173515
1,2004,24,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,70.47601964694451
2,2003,45,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,130.982177377461
3,2003,43,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,154.68529299563
4,2005,50,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,75.0431540173515
5,2008,54,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.115743812184
6,2009,44,1. Male,2. Married,4. Other,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,169.528538036679
7,2008,30,1. Male,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,111.72084936098899
8,2006,41,1. Male,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.884359339886
9,2004,52,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,128.680488220624
10,2007,45,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,117.14681691480499
11,2007,34,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.2832532842527
12,2005,35,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,89.49247951800008
13,2003,39,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.705375118879
14,2009,54,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.705375118879
15,2009,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,90.48191335664009
16,2003,37,1. Male,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.6796372966372
17,2006,50,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,212.842352315711
18,2007,56,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,129.156693004704
19,2003,37,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,98.5993438603892
20,2003,38,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,200.543262324662
21,2005,40,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,50.406660861266005
22,2009,75,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.3839403789827
23,2007,40,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,160.642475408263
24,2006,38,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,94.0727147457005
25,2005,49,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,277.601417511009
26,2006,43,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,84.0459576539924
27,2004,34,1. Male,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,65.1108537153447
28,2008,57,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,116.265324062503
29,2003,18,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,70.47601964694451
30,2004,55,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,195.67630799045298
31,2005,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,101.402052302992
32,2008,33,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.2832532842527
33,2005,34,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,111.72084936098899
34,2006,36,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,89.8800467811106
35,2003,56,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,87.98103278560541
36,2006,70,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103278560541
37,2004,25,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,103.90247060316
38,2006,32,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,105.927810775063
39,2003,27,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,66.2294082943902
40,2004,28,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,34.6074177301288
41,2007,27,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.833985642199
42,2004,43,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,45.282169994022
43,2005,50,1. Male,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,73.77574327469459
44,2004,39,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.2832532842527
45,2008,52,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,154.68529299563
46,2009,35,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,267.901086855275
47,2007,57,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.98965048987702
48,2006,25,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,66.2294082943902
49,2006,33,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,116.265324062503
50,2005,57,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,200.543262324662
51,2008,71,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.82435207568001
52,2004,43,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,272.294783220064
53,2003,23,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,35.0334213214995
54,2009,30,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.475713290347
55,2004,22,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.2832532842527
56,2006,59,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,200.543262324662
57,2003,28,1. Male,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.413159102577
58,2004,61,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894636984864
59,2003,34,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,111.72084936098899
60,2005,43,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,152.838800991182
61,2006,54,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,117.14681691480499
62,2005,69,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,77.73760330397809
63,2004,41,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,87.98103278560541
64,2003,48,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.525498433836
65,2003,49,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.336103962059
66,2009,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,158.29462142779101
67,2003,37,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.543262324662
68,2004,55,1. Male,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894636984864
69,2008,21,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,70.47601964694451
